Oeuvre,Date,Langue,Play Genre,Most taltkative character,Order in didascaly,Gender,WC,Sentence_count,Verbs,Conjugated verbs,Punctuation,Dots,Commas,Semi-colons,Colons,Exclamations,Questions,Ellipsis,Parenthesis,Quotes,Apostrophes,Hyphens,Word length,Words longer than 6 letters,WPS,Unique ratio,Unique ratio lemma,Lexical richness,Pronouns,Individual vs collective pronouns,First-person pronouns,First-person pronouns / Pronouns,Nouns,Articles,Definite articles,Definite vs undefinite articles,Determiners,Possessives,Demonstratives,Adverbs,Temporal adverbs,Locative adverbs,Manner adverbs,Affirmation adverbs,Doubt adverbs,Intentional adverbs,Prepositions,Conjunctions,Adjectives,Negations,Negations / verbs,Numbers,Interjections,Future,Present,Simple past,Imperfect,Gerundive,Progressive,Tense alternance,Proximal vs distal deictics,Subjunctive,Conditional,Imperative,Indicative,Stative verbs,Stative / verbs,Linking verbs,Semantic modality,Modal verbs,Modal verbs extended,Internal vs external modals,Transitive,Grammatical agency,Individuated vs unindividuated objects,Active vs Passive Voice,Directional prep,Directional prep on adp,Manner prep,Manner prep on adp,Semantic modality with locutor as subject,Internal vs external modals with locutor as subject,Active vs Passive voice with locutor as subject,Telicity,Verb with locutor as subject,Linking verbs with locutor as subject,Modal verbs with locutor as subject,Modal verbs extended with locutor as subject,Total deictics,Conservative deictics,Abstractness ratio based on POS,Formality index,Implicit style,Dynamic style,Categorical style,Categorical style conservative,Perfect vs imperfect tense
ABEILLE-1674-ARGELIE1.txt,1674,français,Tragédie,ARGÉLIE,"{'ARGÉLIE': 1.0, 'ISMENE': 0.5, 'PHOENIX': 0.3333333333333333, 'TIMAGENE': 0.25, 'ARCAS': 0.2, 'CLÉON': 0.16666666666666666, 'CLYTIE': 0.14285714285714285, 'DIONE': 0.125, 'GARDES': 0.1111111111111111}",female,8678,742,0.171583314,0.723304231,0.278520396,0.1836988,0.298717418,0.036822507,0.02192801,0.038063715,0.066197766,0.019031858,0,0,0.275134464,0.060405461,4.132749481,0.160290389,11.69541779,0.175846969,0.868398268,47.31407054,0.180686794,2.78680203,0.053122839,0.294005102,0.173196589,0.054851348,0.052777138,3.31884058,0.140700622,0.066144273,0.009910118,0.07398018,0.016132749,0.008642544,0.006107398,0.001037105,0.001498041,0,0.100829684,0.05254667,0.047361143,0.028001844,0.163196776,0.003457018,0.004955059,0.042711235,0.649953575,0.018570102,0.095636026,0.045668234,0,0.198700093,1.6,0.08356546,0.077994429,0.117920149,0.728876509,0.019474533,0.113498993,0.073875084,1.615384615,0.051712559,0.067159167,1.566666667,0.531229013,0,5.564102564,23.73333333,0.000345702,0.003128259,0.008757778,0.079249218,3.222222222,2,67,0.071428571,0.179314976,0.026217228,0.014981273,0.02247191,0.37731239,0.271606361,2.084558824,49.97251671,0.426250288,0.274141507,0.236229546,0.155681032,0.194174757
ABEILLE-1674-ARGELIE1.txt,1674,français,Tragédie,ARGÉLIE,"{'ARGÉLIE': 1.0, 'ISMENE': 0.5, 'PHOENIX': 0.3333333333333333, 'TIMAGENE': 0.25, 'ARCAS': 0.2, 'CLÉON': 0.16666666666666666, 'CLYTIE': 0.14285714285714285, 'DIONE': 0.125, 'GARDES': 0.1111111111111111}",male,7044,574,0.174616695,0.714634146,0.272146508,0.195096505,0.307250913,0.047991654,0.028690662,0.036515389,0.043296818,0.024517475,0,0,0.256129369,0.060511215,4.138557638,0.158432709,12.271777,0.182282794,0.861356932,46.11595041,0.182424759,2,0.052952868,0.290272374,0.171777399,0.050681431,0.045428734,2.735042735,0.139693356,0.070414537,0.009795571,0.069988643,0.019023282,0.005394662,0.004542873,0.001561613,0.001987507,0,0.103492334,0.048126065,0.045570698,0.02754117,0.157723577,0.002555366,0.005394662,0.050056883,0.650739477,0.010238908,0.091012514,0.03902439,0,0.224118316,0,0.071672355,0.072810011,0.120591581,0.718998862,0.018881317,0.108130081,0.06504065,1.347826087,0.054471545,0.075609756,1.791666667,0.532520325,0,5.477987421,22.91666667,0.000425894,0.003811944,0.007666099,0.068614994,1.833333333,3.2,49.33333333,0.025641026,0.16504065,0.034482759,0.009852217,0.019704433,0.374391595,0.27725724,2.063934426,49.97251671,0.427030097,0.271294719,0.229840999,0.154173765,0.1125
ABEILLE-1676-CORIOLAN2.txt,1676,français,Tragédie,VIRGILIE,"{'C. MARTIUS': 1.0, 'AUFIDE': 0.5, 'CAMILLE': 0.3333333333333333, 'VIRGILIE': 0.25, 'ALBIN': 0.2, 'SABINE': 0.16666666666666666, 'SOLDATS': 0.14285714285714285}",female,8831,663,0.176197486,0.746786632,0.248442985,0.187784868,0.252506837,0.031449407,0.055606199,0.027803099,0.068824066,0.017775752,0.000455789,0,0.293527803,0.06426618,4.149020496,0.159891292,13.31975867,0.16487374,0.860528715,45.7988209,0.188313894,1.374301676,0.05525988,0.29344558,0.164760503,0.051296569,0.046880308,3.02189781,0.13101574,0.061714415,0.012003171,0.074397011,0.017098856,0.009851659,0.004529498,0.001698562,0.001245612,0,0.105990262,0.054580455,0.044389084,0.02762994,0.156812339,0.002491224,0.004982448,0.053356282,0.645438898,0.025817556,0.061101549,0.035989717,0,0.179001721,2.1,0.050774527,0.063683305,0.124784854,0.734939759,0.023100442,0.131105398,0.075835476,1.278688525,0.053341902,0.073907455,1.59375,0.523136247,0,5.69273743,29.13636364,0.000226475,0.001936108,0.008492809,0.072604066,2.4,3,53.25,0.25,0.183161954,0.021052632,0.014035088,0.021052632,0.368647851,0.276978825,2.125539688,49.96127279,0.438908391,0.285811346,0.239497226,0.15728683,0.422535211
ABEILLE-1676-CORIOLAN2.txt,1676,français,Tragédie,VIRGILIE,"{'C. MARTIUS': 1.0, 'AUFIDE': 0.5, 'CAMILLE': 0.3333333333333333, 'VIRGILIE': 0.25, 'ALBIN': 0.2, 'SABINE': 0.16666666666666666, 'SOLDATS': 0.14285714285714285}",male,5537,384,0.172656673,0.699790795,0.24327253,0.170007424,0.266518189,0.024498886,0.073496659,0.022271715,0.073496659,0.020044543,0,0,0.279881218,0.069784707,4.22810186,0.176268738,14.41927083,0.214556619,0.865048544,48.26639543,0.165613148,1.762237762,0.043164168,0.260632497,0.177894167,0.06573957,0.059057251,3,0.135633014,0.057973632,0.01065559,0.06573957,0.018602131,0.007765938,0.003431461,0.001986635,0.001986635,0,0.112696406,0.051652519,0.048762868,0.022936608,0.132845188,0.002347842,0.002889651,0.065769806,0.674140508,0.037369208,0.040358744,0.058577406,0,0.23019432,0.909090909,0.058295964,0.076233184,0.091180867,0.76083707,0.021672386,0.125523013,0.076359833,2.666666667,0.050209205,0.069037657,3.363636364,0.521966527,0,5.095238095,15.69565217,0.000180603,0.001426534,0.009391367,0.074179743,2.8,10,52.5,0.032258065,0.142259414,0.022058824,0,0.007352941,0.344829056,0.249954849,1.989180835,49.96127279,0.404009391,0.253025104,0.253025104,0.178435976,0.925925926
ABEILLE-1681-LYNCEE3.txt,1681,français,Tragédie,ÉRIGONE,"{'DANAÜS': 1.0, 'ÉRIGONE': 0.5, 'IPHIS': 0.3333333333333333, 'LYNCÉE': 0.25, 'HYPERMESTRE': 0.2, 'LYCASTE': 0.16666666666666666, 'DIRCÉ': 0.14285714285714285}",female,6879,328,0.177060619,0.71182266,0.231719727,0.112923463,0.395859473,0.026976161,0.013801757,0.030112923,0.04642409,0.029485571,0,0,0.313676286,0.030740276,4.160343073,0.158598634,20.97256098,0.188544847,0.862068966,46.79814678,0.165721762,1.855072464,0.049425789,0.298245614,0.181130978,0.060619276,0.057566507,3.272727273,0.143916267,0.066288705,0.010030528,0.071522024,0.020351795,0.007995348,0.004797209,0.00159907,0.00116296,0.00014537,0.105829336,0.048844309,0.051751708,0.025730484,0.145320197,0.00101759,0.004215729,0.061130334,0.634371396,0.027681661,0.044982699,0.041050903,0,0.176470588,1,0.06343714,0.066897347,0.129181084,0.725490196,0.019624945,0.110837438,0.060755337,1.512820513,0.05500821,0.077175698,2.35,0.540229885,0,5.62745098,14.61904762,0.00043611,0.003703704,0.007849978,0.066666667,2.5,5.666666667,64.5,1,0.18226601,0.009009009,0.004504505,0.013513514,0.362283297,0.26035761,1.987012987,49.99040558,0.414304405,0.256868731,0.241023405,0.166448612,0.615384615
ABEILLE-1681-LYNCEE3.txt,1681,français,Tragédie,ÉRIGONE,"{'DANAÜS': 1.0, 'ÉRIGONE': 0.5, 'IPHIS': 0.3333333333333333, 'LYNCÉE': 0.25, 'HYPERMESTRE': 0.2, 'LYCASTE': 0.16666666666666666, 'DIRCÉ': 0.14285714285714285}",male,6430,282,0.174339036,0.710972346,0.230015552,0.112237999,0.420554429,0.027721433,0.01352265,0.019607843,0.045977011,0.012846518,0.000676133,0,0.324543611,0.022312373,4.159564541,0.161430793,22.80141844,0.198755832,0.860308285,47.59030818,0.165785381,2.373493976,0.057387247,0.346153846,0.185225505,0.063141524,0.059253499,3.12295082,0.146345257,0.062986003,0.011041991,0.066407465,0.019751166,0.008398134,0.004821151,0.001244168,0.000466563,0.000155521,0.108242613,0.046967341,0.050699844,0.020528771,0.117752007,0.002021773,0.004043546,0.056461731,0.668757842,0.028858218,0.033877039,0.039250669,0,0.17816813,1,0.060225847,0.045169385,0.109159348,0.754077792,0.017418351,0.099910794,0.070472792,1.821428571,0.048171276,0.062444246,1.7,0.522747547,0,5.602739726,11.81818182,0.000311042,0.002638522,0.006998445,0.059366755,1.909090909,2.666666667,113,0.090909091,0.20249777,0.022026432,0.013215859,0.017621145,0.350867563,0.256920684,1.946799308,49.99040558,0.406531882,0.249611198,0.238880249,0.171384137,0.851851852
AIGUEBERRE-1781-AVAREAMOUREUX4.txt,1781,français,Comédie,ARGANTE,"{'ARGANTE': 1.0, 'GÉRONTE': 0.5, 'JULIE': 0.3333333333333333, 'DORIMÈNE': 0.25, 'VALÈRE': 0.2, 'NÉRINE': 0.16666666666666666, 'MONSIEUR SUBTIL': 0.14285714285714285, 'MONSIEUR COURTELIGNE': 0.125}",female,2849,257,0.192699193,0.735883424,0.250965251,0.286713287,0.26993007,0.030769231,0.026573427,0.033566434,0.027972028,0.011188811,0,0,0.26013986,0.053146853,4.152685153,0.164619165,11.08560311,0.204633205,0.778947368,39.88413589,0.20989821,0.984848485,0.043875044,0.2090301,0.146718147,0.052299052,0.043524044,2.818181818,0.094770095,0.031239031,0.005967006,0.095472095,0.016848017,0.011934012,0.014742015,0.003159003,0.001755002,0,0.090909091,0.068796069,0.044226044,0.043875044,0.227686703,0.007020007,0.004212004,0.096534653,0.653465347,0.012376238,0.074257426,0.021857923,0,0.25990099,0.37037037,0.099009901,0.066831683,0.094059406,0.722772277,0.031941032,0.16575592,0.098360656,1.692307692,0.038251366,0.06010929,1.625,0.469945355,0,3.275362319,27.55555556,0.000351,0.003533569,0.005967006,0.060070671,6,3,,0.090909091,0.151183971,0.048192771,0.036144578,0.060240964,0.357188757,0.26991927,2.248190279,49.91593542,0.498069498,0.337311337,0.255879256,0.143208143,0.166666667
AIGUEBERRE-1781-AVAREAMOUREUX4.txt,1781,français,Comédie,ARGANTE,"{'ARGANTE': 1.0, 'GÉRONTE': 0.5, 'JULIE': 0.3333333333333333, 'DORIMÈNE': 0.25, 'VALÈRE': 0.2, 'NÉRINE': 0.16666666666666666, 'MONSIEUR SUBTIL': 0.14285714285714285, 'MONSIEUR COURTELIGNE': 0.125}",male,3062,315,0.185173089,0.73015873,0.261920314,0.264339152,0.224438903,0.044887781,0.034912718,0.036159601,0.057356608,0.036159601,0,0,0.236907731,0.064837905,4.056825604,0.153494448,9.720634921,0.186152841,0.765323993,38.32404633,0.224036577,2.617977528,0.064990202,0.290087464,0.137491835,0.046374918,0.035924233,2.291666667,0.091116917,0.033311561,0.005878511,0.099934683,0.020574788,0.012083605,0.019595036,0.003592423,0.000653168,0,0.096995428,0.061397779,0.032984977,0.037883736,0.204585538,0.010124102,0.008491182,0.103864734,0.676328502,0.012077295,0.065217391,0.026455026,0,0.256038647,0.391304348,0.065217391,0.062801932,0.077294686,0.789855072,0.033311561,0.17989418,0.109347443,2.266666667,0.058201058,0.081128748,2.3,0.485008818,0,3.565217391,27.63636364,0.000653168,0.006389776,0.00751143,0.073482428,4,4.5,31.33333333,1,0.23633157,0.067164179,0.014925373,0.02238806,0.376460058,0.290006532,2.334008097,49.91593542,0.50914435,0.357282822,0.242651862,0.143370346,0.185185185
ALAINLEGRAND-1711-EPREUVERECIPROQUE8.txt,1711,français,Comédie,FRONTIN,"{'MADAME DE FALIGNAC': 1.0, 'VALÈRE': 0.5, 'PHILAMINTE': 0.3333333333333333, 'FRONTIN': 0.25, 'LISETTE': 0.2, 'CRIQUET': 0.16666666666666666}",female,2307,245,0.176419593,0.808353808,0.261378414,0.245439469,0.245439469,0.046434494,0.009950249,0.07628524,0.059701493,0.028192371,0,0,0.225538972,0.063018242,4.1798873,0.166016472,9.416326531,0.238404855,0.788530466,41.82282629,0.200260078,1.75,0.061118336,0.305194805,0.1491114,0.058084092,0.045513654,2.5,0.112700477,0.036844387,0.014304291,0.104898136,0.022973559,0.009536194,0.015604681,0.003467707,0.001733853,0,0.092761162,0.050281751,0.048981361,0.04117902,0.233415233,0.00130039,0.012136974,0.045592705,0.699088146,0.006079027,0.060790274,0.024570025,0,0.167173252,0.5,0.060790274,0.066869301,0.103343465,0.759878419,0.031209363,0.176904177,0.132678133,2.125,0.031941032,0.046683047,5.5,0.444717445,0,3.789473684,23.5,0,0,0.007802341,0.080717489,5,0,,0.058823529,0.240786241,0.091836735,0.010204082,0.010204082,0.417854378,0.269614218,2.391478029,49.92761162,0.481577807,0.336367577,0.242306025,0.150845254,0.1
ALAINLEGRAND-1711-EPREUVERECIPROQUE8.txt,1711,français,Comédie,FRONTIN,"{'MADAME DE FALIGNAC': 1.0, 'VALÈRE': 0.5, 'PHILAMINTE': 0.3333333333333333, 'FRONTIN': 0.25, 'LISETTE': 0.2, 'CRIQUET': 0.16666666666666666}",male,3148,268,0.18519695,0.746140652,0.260800508,0.203410475,0.283800244,0.048721072,0.024360536,0.040194884,0.048721072,0.038976857,0,0,0.257003654,0.054811206,4.221410419,0.17249047,11.74626866,0.224587039,0.811781609,43.43869061,0.214421855,1.949494949,0.057814485,0.26962963,0.152160102,0.062261753,0.048602287,2.185714286,0.106099111,0.027001271,0.012388818,0.094345616,0.025412961,0.013659466,0.014930114,0.004447268,0.000952986,0,0.095298602,0.056861499,0.040660737,0.036531131,0.197255575,0.00317662,0.005082592,0.059770115,0.742528736,0.006896552,0.048275862,0.030874786,0,0.183908046,0.32,0.055172414,0.073563218,0.075862069,0.802298851,0.029224905,0.15780446,0.087478559,2.384615385,0.051457976,0.070325901,2.75,0.466552316,0,3.21686747,16.86666667,0.000635324,0.006134969,0.00794155,0.076687117,,0,44,0.5,0.202401372,0.059322034,0,0.016949153,0.386764135,0.280495553,2.264595104,49.92761162,0.493964422,0.337992376,0.250952986,0.157560356,0.142857143
